reversion_init,word_init,reversion_detal1,reversion_week1,word_week1,reversion_detal2,reversion_week2,word_week1,reversion_detal3,reversion_week3,word_week3,reversion_detal4,reversion_week4,word_week4,reversion_month,word_month,revert,log_word_month
0.71,-2073.571429,-0.71,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
1.14,64.42857143,1.14,2.29,107.8571429,-1.571428571,0.714285714,-1.571428571,-0.428571429,0.285714286,1.142857143,4,4.285714286,68,1.892857143,43.85714286,1,1.65
6.86,-107.5714286,1.71,8.57,139.2857143,8.571428571,17.14285714,2928.857143,17.57142857,34.71428571,1627.857143,-1.571428571,33.14285714,1463.857143,23.39285714,1539.964286,1,3.19
3.86,196.8571429,1.00,4.86,62.85714286,-2.428571429,2.428571429,261.4285714,-1,1.428571429,450,-1.428571429,0,0,2.178571429,193.5714286,1,2.29
28.00,13979.85714,-11.29,16.71,5600.142857,57.14285714,73.85714286,10829.42857,-5.428571429,68.42857143,18680.71429,-8.142857143,60.28571429,15824,54.82142857,12733.57143,1,4.10
1.00,-154.7142857,-1.00,0.00,0,0,0,0,2,2,1657.571429,-0.285714286,1.714285714,-250.2857143,0.928571429,351.8214286,1,2.55
106.43,1216.428571,-79.71,26.71,3047,35.57142857,62.28571429,-123.5714286,-30.71428571,31.57142857,45.71428571,-3.571428571,28,331.1428571,37.14285714,825.0714286,1,2.92
0.29,-1.714285714,-0.29,0.00,0,0.428571429,0.428571429,65.57142857,-0.428571429,0,0,0,0,0,0.107142857,16.39285714,1,1.24
0.14,19.57142857,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,14.57142857,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
1.14,178.7142857,0.29,1.43,132.5714286,-0.428571429,1,194.2857143,1,2,849.8571429,-0.857142857,1.142857143,55,1.392857143,307.9285714,1,2.49
1.86,149.1428571,-0.71,1.14,-39.85714286,-0.142857143,1,63,-0.857142857,0.142857143,-0.857142857,1.142857143,1.285714286,176.2857143,0.892857143,49.64285714,1,1.70
60.00,1112.857143,-18.14,41.86,-1023.571429,22,63.85714286,-3083.428571,-21.85714286,42,3073,-9,33,125.4285714,45.17857143,-227.1428571,1,2.35
